unique_customer_id,Recency,Frequency,Monetary
CARD_AMEX_1004,3,62,1225.93
CARD_AMEX_1008,1,60,1160.18
CARD_AMEX_1000,2,66,1048.3700000000001
CARD_AMEX_1006,4,55,1005.0400000000001
LOYALTY_db429acf-6d42-4b84-accb-0e2696dd5e98,2,97,983.2900000000001
CARD_AMEX_1009,3,53,893.67
CARD_AMEX_1002,2,51,861.8
LOYALTY_9a59c688-578d-4e00-a770-d8c9a5e31531,14,52,819.95
CARD_AMEX_1005,1,60,782.97
CARD_AMEX_1001,3,50,769.72
CARD_AMEX_1003,1,47,756.04
LOYALTY_c8ece71e-07b4-4fcf-8d1e-634d06c22360,12,50,745.96
CARD_AMEX_1007,4,43,711.02
CARD_AMEX_2007,14,37,692.5
CARD_AMEX_2004,3,40,648.3100000000001
CARD_VISA_1992,11,64,628.1
LOYALTY_cd17c8cc-69d4-4e9e-86e1-45d37116aa2d,3,81,620.1899999999999
CARD_DISCOVER_3209,5,41,608.99
CARD_AMEX_2000,6,28,590.38
CARD_AMEX_2001,1,29,579.85
CARD_AMEX_1511,1,43,562.07
LOYALTY_c6f70f2d-892d-4d57-8b8d-be4b0a5e0411,11,28,550.23
LOYALTY_532368ec-4d26-431c-9795-c9de04239bdb,10,41,548.03
CARD_VISA_1700,18,24,542.54
CARD_AMEX_2003,4,29,512.18
CARD_AMEX_5869,17,27,481.94
CARD_AMEX_2008,4,22,469.49
CARD_VISA_7933,17,16,423.04
LOYALTY_1903a26d-b703-4964-bfef-7a75971c220e,5,19,384.44
LOYALTY_29705e76-9301-4805-9a22-b23c113adf70,37,9,381.43
CARD_VISA_2505,3,22,353.11
CARD_AMEX_4002,3,16,348.92
LOYALTY_bb25b272-017d-431b-9111-efccc6b2e1e1,7,15,345.33
CARD_AMEX_3003,7,13,344.08
LOYALTY_c54c932a-1454-4db0-803c-5ed3390c3f6c,14,9,316.59
CARD_AMEX_1013,17,16,309.27
LOYALTY_edec7536-aed0-42d1-ae6b-31bec6fadab2,3,8,306.70000000000005
CARD_VISA_3565,24,14,303.98
CARD_AMEX_2005,11,19,297.03
LOYALTY_392203ba-1d46-46c4-b525-78cfc17dda9a,4,28,293.06
LOYALTY_9479a726-d1d7-4a1f-8436-bb8de886ad18,2,19,291.08
CARD_AMEX_3007,1,19,290.33
LOYALTY_820a31e0-cf89-4ba1-a96a-ccf18a3f64ea,8,19,274.79
CARD_AMEX_3000,2,12,274.01
CARD_VISA_7969,1,29,268.69
CARD_AMEX_4007,13,10,262.63
CARD_VISA_3521,45,12,260.16
LOYALTY_83993308-44a3-4cad-9792-cc350ecd0701,9,17,256.29
LOYALTY_f8721ba4-53f2-444c-80e4-7a013a0780cb,7,11,255.6
LOYALTY_1a087dfa-5931-4a96-81c2-d1a968a69dd3,3,29,245.08
CARD_VISA_6040,1,22,244.28
LOYALTY_2b1730cd-5289-495e-ab3f-1192a63c1e02,3,35,242.34
LOYALTY_1c05e6ef-96c8-4d73-a919-5165221adfa7,10,25,242.2
CARD_AMEX_2002,1,16,241.44
CARD_VISA_4033,4,24,238.72
LOYALTY_4b559085-192e-4a73-8754-6348a8b947a0,2,20,237.04000000000002
LOYALTY_3dac246b-fd71-42db-9344-7cbe88d2a49d,14,9,236.62
LOYALTY_1ec3336a-17f5-47e9-92fd-0b1bc84a9246,28,14,235.0
LOYALTY_08d3033a-4b37-45a3-91e1-5fff9051352c,2,27,233.32
CARD_VISA_2042,5,23,231.6
LOYALTY_74c614b0-9a29-4f3e-86cb-7f05c0d07ebf,33,13,231.39
CARD_VISA_0747,5,28,230.04000000000002
LOYALTY_cd28f0bd-1452-4c29-9dba-1bd4a7cf9ab1,85,3,229.79
CARD_MASTERCARD_0726,1,19,224.51
LOYALTY_1068e485-5214-489b-b0e9-c0da60cee1c5,1,19,223.58
CARD_VISA_9023,2,12,220.87
CARD_VISA_9582,4,12,220.32999999999998
CARD_AMEX_1023,1,13,220.02
CARD_VISA_6814,15,26,219.19
CARD_VISA_4402,13,7,218.97
CARD_VISA_3343,6,15,218.65
LOYALTY_65d2844f-4977-45b3-bfa8-f93abf7106f9,43,19,215.58
CARD_VISA_8004,6,10,210.57
CARD_VISA_5828,14,22,209.58
LOYALTY_a6c024c8-5b08-4337-b217-c4a09bc60cc4,42,17,209.32999999999998
CARD_VISA_1251,17,9,209.13
LOYALTY_bfaabdaa-0ea3-4124-a726-954126a8bdc4,23,17,208.38
LOYALTY_28219951-79c8-4185-a74b-c44b097a71bf,4,9,208.32
CARD_VISA_7840,3,6,206.12
CARD_VISA_7099,5,21,204.69
CARD_AMEX_2009,2,14,203.26
LOYALTY_df1e1aa3-b7d5-4bd4-b448-793826892592,3,17,201.9
CARD_AMEX_4000,9,12,200.32
CARD_AMEX_9330,6,14,199.55
CARD_MASTERCARD_4331,6,7,199.2
CARD_MASTERCARD_4933,5,20,197.99
LOYALTY_108d4035-eca3-4708-bd68-28d141b2f9c4,18,8,197.35
LOYALTY_012bb02e-237f-49bf-95b6-fac75f596fff,4,5,196.78
CARD_VISA_3473,12,6,193.85
CARD_VISA_3882,16,17,193.64000000000001
CARD_MASTERCARD_0321,62,19,193.24
CARD_VISA_1288,11,9,192.69
LOYALTY_debf0835-9184-47ec-be19-0b256340ab49,1,20,191.92
CARD_AMEX_4003,9,11,190.3
LOYALTY_c88a91e6-15d8-47ba-943f-52a260dd9fc2,29,12,190.13
CARD_VISA_5488,3,19,190.03
CARD_AMEX_2991,33,4,189.51
LOYALTY_75f19ad9-bcad-4913-8fe5-3ed611fc8448,33,8,186.39
CARD_AMEX_4364,87,16,185.04
LOYALTY_e543097a-1376-4ced-87b4-1283d024eab8,23,12,184.68
CARD_AMEX_7711,12,9,184.34
CARD_VISA_9575,12,14,183.5
CARD_MASTERCARD_4124,23,16,182.38
CARD_VISA_1858,102,6,181.13
CARD_VISA_0065,1,8,179.31
CARD_VISA_9385,4,10,178.61
LOYALTY_ecade8d1-4fe8-4c08-b78e-f5789865a573,6,22,177.74
LOYALTY_10e63536-58e5-43e0-9596-ae8eef2996f0,6,6,177.48
CARD_VISA_4571,1,15,177.12
LOYALTY_f2ba7e49-ad40-49ff-bc54-616247b49993,10,11,176.93
